Country,"Covid Deaths till 12th August, 2020"
Afghanistan,1354
Albania,208
Algeria,1333
Andorra,53
Angola,80
Antigua and Barbuda,3
Argentina,5213
Armenia,806
Australia,361
Austria,724
Azerbaijan,497
Bahamas,15
Bahrain,166
Bangladesh,3513
Barbados,7
Belarus,595
Belgium,9900
Belize,2
Benin,38
Bhutan,0
Bolivia,3827
Bosnia and Herzegovina,453
Botswana,2
Brazil,104201
Brunei,3
Bulgaria,482
Burkina Faso,54
Burma,6
Burundi,1
Cabo Verde,33
Cambodia,0
Cameroon,401
Canada,9052
Central African Republic,61
Chad,76
Chile,10205
China,4697
Colombia,13837
Comoros,7
Congo (Brazzaville),60
Congo (Kinshasa),225
Costa Rica,263
Cote d'Ivoire,105
Croatia,160
Cuba,88
Cyprus,20
Czechia,391
Denmark,621
Diamond Princess,13
Djibouti,59
Dominica,0
Dominican Republic,1371
Ecuador,5984
Egypt,5085
El Salvador,577
Equatorial Guinea,83
Eritrea,0
Estonia,63
Eswatini,63
Ethiopia,463
Fiji,1
Finland,333
France,30375
Gabon,51
Gambia,33
Georgia,17
Germany,9213
Ghana,223
Greece,216
Grenada,0
Guatemala,2267
Guinea,50
Guinea-Bissau,29
Guyana,22
Haiti,187
Holy See,0
Honduras,1533
Hungary,605
Iceland,10
India,47033
Indonesia,5903
Iran,18988
Iraq,5588
Ireland,1774
Israel,639
Italy,35225
Jamaica,14
Japan,1066
Jordan,11
Kazakhstan,1269
Kenya,456
"Korea, South",305
Kosovo,341
Kuwait,489
Kyrgyzstan,1484
Laos,0
Latvia,32
Lebanon,89
Lesotho,24
Liberia,82
Libya,132
Liechtenstein,1
Lithuania,81
Luxembourg,122
MS Zaandam,2
Madagascar,156
Malawi,152
Malaysia,125
Maldives,21
Mali,125
Malta,9
Mauritania,157
Mauritius,10
Mexico,54666
Moldova,863
Monaco,4
Mongolia,0
Montenegro,73
Morocco,556
Mozambique,19
Namibia,22
Nepal,91
Netherlands,6182
New Zealand,22
Nicaragua,128
Niger,69
Nigeria,956
North Macedonia,530
Norway,256
Oman,539
Pakistan,6129
Panama,1703
Papua New Guinea,3
Paraguay,93
Peru,21501
Philippines,2404
Poland,1830
Portugal,1764
Qatar,190
Romania,2807
Russia,15231
Rwanda,8
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
San Marino,42
Sao Tome and Principe,15
Saudi Arabia,3269
Senegal,242
Serbia,658
Seychelles,0
Sierra Leone,69
Singapore,27
Slovakia,31
Slovenia,129
Somalia,93
South Africa,11010
South Sudan,47
Spain,28579
Sri Lanka,11
Sudan,786
Suriname,39
Sweden,5774
Switzerland,1991
Syria,53
Taiwan*,7
Tajikistan,63
Tanzania,21
Thailand,58
Timor-Leste,0
Togo,26
Trinidad and Tobago,8
Tunisia,52
Turkey,5891
US,166026
Uganda,9
Ukraine,1999
United Arab Emirates,358
United Kingdom,46791
Uruguay,37
Uzbekistan,211
Venezuela,247
Vietnam,18
West Bank and Gaza,105
Western Sahara,1
Yemen,528
Zambia,246
Zimbabwe,122
