country,covid_deaths,covid_confirmed
Afghanistan,1354,37345
Albania,208,6817
Algeria,1333,36699
Andorra,53,977
Angola,80,1762
Antigua and Barbuda,3,92
Argentina,5213,268574
Armenia,806,40794
Australia,361,22358
Austria,724,22439
Azerbaijan,497,33824
Bahamas,15,1036
Bahrain,166,45264
Bangladesh,3513,266498
Barbados,7,144
Belarus,595,69102
Belgium,9900,75647
Belize,2,210
Benin,38,2014
Bhutan,0,113
Bolivia,3827,95071
Bosnia and Herzegovina,453,14961
Botswana,2,1066
Brazil,104201,3164785
Brunei,3,142
Bulgaria,482,13893
Burkina Faso,54,1213
Burma,6,361
Burundi,1,409
Cabo Verde,33,3000
Cambodia,0,272
Cameroon,401,18263
Canada,9052,122703
Central African Republic,61,4652
Chad,76,949
Chile,10205,378168
China,4697,89045
Colombia,13837,422519
Comoros,7,399
Congo (Brazzaville),60,3745
Congo (Kinshasa),225,9538
Costa Rica,263,25057
Cote d'Ivoire,105,16847
Croatia,160,5870
Cuba,88,3128
Cyprus,20,1291
Czechia,391,19075
Denmark,621,15423
Diamond Princess,13,712
Djibouti,59,5358
Dominica,0,18
Dominican Republic,1371,82224
Ecuador,5984,97110
Egypt,5085,95963
El Salvador,577,21644
Equatorial Guinea,83,4821
Eritrea,0,285
Estonia,63,2174
Eswatini,63,3525
Ethiopia,463,25118
Fiji,1,27
Finland,333,7642
France,30375,244088
Gabon,51,8077
Gambia,33,1477
Georgia,17,1278
Germany,9213,220859
Ghana,223,41572
Greece,216,6177
Grenada,0,24
Guatemala,2267,59089
Guinea,50,8116
Guinea-Bissau,29,2088
Guyana,22,623
Haiti,187,7743
Holy See,0,12
Honduras,1533,48657
Hungary,605,4768
Iceland,10,1972
India,47033,2396637
Indonesia,5903,130718
Iran,18988,333699
Iraq,5588,160436
Ireland,1774,26838
Israel,639,88151
Italy,35225,251713
Jamaica,14,1065
Japan,1066,51288
Jordan,11,1303
Kazakhstan,1269,101372
Kenya,456,28104
"Korea, South",305,14770
Kosovo,341,10419
Kuwait,489,73785
Kyrgyzstan,1484,40759
Laos,0,20
Latvia,32,1303
Lebanon,89,7413
Lesotho,24,798
Liberia,82,1252
Libya,132,6611
Liechtenstein,1,90
Lithuania,81,2309
Luxembourg,122,7300
MS Zaandam,2,9
Madagascar,156,13397
Malawi,152,4752
Malaysia,125,9114
Maldives,21,5366
Mali,125,2582
Malta,9,1190
Mauritania,157,6622
Mauritius,10,344
Mexico,54666,498380
Moldova,863,28697
Monaco,4,141
Mongolia,0,297
Montenegro,73,3813
Morocco,556,36694
Mozambique,19,2559
Namibia,22,3406
Nepal,91,24432
Netherlands,6182,61718
New Zealand,22,1589
Nicaragua,128,4115
Niger,69,1161
Nigeria,956,47743
North Macedonia,530,12217
Norway,256,9783
Oman,539,82299
Pakistan,6129,285921
Panama,1703,77377
Papua New Guinea,3,287
Paraguay,93,8018
Peru,21501,489680
Philippines,2404,143749
Poland,1830,53676
Portugal,1764,53223
Qatar,190,113938
Romania,2807,65177
Russia,15231,900745
Rwanda,8,2189
Saint Kitts and Nevis,0,17
Saint Lucia,0,25
Saint Vincent and the Grenadines,0,57
San Marino,42,699
Sao Tome and Principe,15,882
Saudi Arabia,3269,293037
Senegal,242,11587
Serbia,658,28751
Seychelles,0,127
Sierra Leone,69,1937
Singapore,27,55395
Slovakia,31,2690
Slovenia,129,2303
Somalia,93,3227
South Africa,11010,568919
South Sudan,47,2477
Spain,28579,329784
Sri Lanka,11,2881
Sudan,786,12033
Suriname,39,2653
Sweden,5774,83455
Switzerland,1991,37169
Syria,53,1327
Taiwan*,7,481
Tajikistan,63,7912
Tanzania,21,509
Thailand,58,3356
Timor-Leste,0,25
Togo,26,1092
Trinidad and Tobago,8,326
Tunisia,52,1780
Turkey,5891,244392
US,166026,5197118
Uganda,9,1332
Ukraine,1999,86504
United Arab Emirates,358,63212
United Kingdom,46791,315581
Uruguay,37,1393
Uzbekistan,211,32654
Venezuela,247,29088
Vietnam,18,883
West Bank and Gaza,105,15184
Western Sahara,1,10
Yemen,528,1841
Zambia,246,8501
Zimbabwe,122,4893
